waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,102,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,102,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,107,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,107,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,107,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,114,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,114,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,147,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,147,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,147,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,155,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,155,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,229,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,229,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,239,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,239,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,251,NA,,NA,,Observed length
GRINDSTONE LAKE,2013,Sep,BOOM SHOCKER,Walleye,251,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,198,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,264,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,89,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,112,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,114,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,165,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,168,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,196,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,213,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,216,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,218,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,104,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,109,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,112,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,112,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,114,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,114,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,117,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,119,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,122,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,124,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,127,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,130,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,132,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,135,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,137,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,140,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
GRINDSTONE LAKE,2014,Sep,BOOM SHOCKER,Walleye,142,NA,,NA,,Observed length
